,Tweet,Time,nb_favorites
277,spacex dragon dock extend video,2022-10-07 06:53:11+00:00,57083
278,excit announc start product tesla semi truck deliveri dec 1st,2022-10-06 23:50:57+00:00,361697
279,rt station now 11 crew member arriv four member today work space con,2022-10-06 23:16:21+00:00,0
280,starlink view 2nd stage deorbit burn,2022-10-06 16:12:27+00:00,77488
281,war ultim suprem court,2022-10-06 04:37:25+00:00,216135
282,anoth batch starlink orbit 7 hour astronaut launch,2022-10-06 01:21:12+00:00,41547
283,rt watch falcon 9 launch dragon crew 5,2022-10-05 14:03:01+00:00,0
284,rt meet crew 5,2022-10-05 14:02:44+00:00,0
285,buy twitter acceler creat x everyth app,2022-10-04 22:39:41+00:00,421606
286,rt brain tesla neural network 1 billion paramet complet 144 trillion oper per second,2022-10-03 23:16:58+00:00,0
287,tri peopl live donba amp crimea decid whether part russia ukrain,2022-10-03 17:55:05+00:00,97737
288,ukrain russia peac redo elect annex region un supervis russia leav t,2022-10-03 16:15:43+00:00,100038
289,,2022-10-03 07:44:48+00:00,251119
290,,2022-10-02 23:29:18+00:00,149004
291,prufrock ii emerg ground,2022-10-02 23:03:40+00:00,71035
292,ancient grudg break new mutini,2022-10-02 18:49:35+00:00,100275
293,rt crew 5 spacex complet full rehears launch day activ,2022-10-02 18:17:56+00:00,0
294,rt 2k model y built giga berlin week,2022-10-02 11:39:04+00:00,0
295,,2022-10-02 11:15:14+00:00,233021
296,record tesla ai day 2022,2022-10-02 01:29:06+00:00,23623
297,rt falcon 9 dragon vertic launch complex 39a target wednesday octob 5 launch crew 5 mission,2022-10-01 19:45:15+00:00,0
298,,2022-10-01 05:21:49+00:00,98351
299,rt,2022-10-01 05:16:39+00:00,0
300,,2022-10-01 03:08:48+00:00,513269
301,natur catgirl version optimus robot,2022-10-01 03:05:34+00:00,107827
302,point ai day show immens depth amp breadth tesla ai comput hardwar amp robot,2022-10-01 02:36:33+00:00,52190
303,rt tesla bot come danc,2022-10-01 01:55:09+00:00,0
304,webcast link,2022-09-30 22:13:26+00:00,17007
305,tesla ai day 2022 start precis 6 15pm california time,2022-09-30 22:08:06+00:00,41782
306,rt powerwal ftw,2022-09-30 14:41:37+00:00,0
307,rt ai day tomorrow,2022-09-30 05:37:30+00:00,0
308,cybertruck waterproof enough serv briefli boat cross river lake amp even sea choppi,2022-09-29 15:31:12+00:00,207584
309,note event meant recruit ai amp robot engin high technic,2022-09-29 14:54:11+00:00,50947
310,starlink maritim system enabl high speed internet connect even heavi sea amp hurrican wind,2022-09-28 23:43:58+00:00,47709
311,last coal shipment arriv hawaii time tesla megapack batteri enabl 24 7 sustain ene,2022-09-28 23:38:46+00:00,44009
312,,2022-09-28 07:16:12+00:00,159205
313,make hair fire metaphor,2022-09-27 23:20:31+00:00,53515
314,,2022-09-27 23:04:38+00:00,47369
315,burnt hair scent men sing,2022-09-27 22:57:09+00:00,44385
316,son saxon amaz mani paper newspap still produc day probabl,2022-09-27 16:50:00+00:00,112508
317,,2022-09-27 16:13:16+00:00,601208
318,falcon 9 fair cam captur 2nd stage plume booster entri burn amp earth twilight,2022-09-27 14:51:58+00:00,89783
319,rt impact success watch s draco camera vend machin size spacecraft success collid astero,2022-09-27 00:57:03+00:00,0
320,,2022-09-25 19:34:40+00:00,239213
321,starlink now 1m user termin manufactur,2022-09-25 19:04:39+00:00,153619
322,rt falcon 9 launch 52 starlink satellit orbit,2022-09-25 10:31:04+00:00,0
323,starlink connect school amazon,2022-09-23 02:59:15+00:00,131147
324,fsd beta 10 69 2 1 look good extend 160k owner amp canada,2022-09-19 20:57:53+00:00,45349
325,baltasar gracián oráculo manual y art de prudencia,2022-09-19 19:33:52+00:00,35418
326,7 engin static fire,2022-09-19 18:30:43+00:00,138004
